"filename", "language", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\ketan\colon33\src\components\Aboutus\Aboutus.jsx", "JavaScript JSX", 0, -41, 0, -5, -46
"c:\Users\ketan\colon33\src\components\Aboutus\Values\Values.jsx", "JavaScript JSX", 0, -80, 0, -9, -89
"c:\Users\ketan\colon33\src\components\Aboutus\Values\values.scss", "SCSS", -99, 0, -3, -22, -124
"c:\Users\ketan\colon33\src\components\Aboutus\aboutus.scss", "SCSS", -5, 0, 0, -1, -6
"c:\Users\ketan\colon33\src\components\Careers\CareersTestimonials\CareersTestimonials.jsx", "JavaScript JSX", 0, -96, 0, -15, -111
"c:\Users\ketan\colon33\src\components\Careers\CareersTestimonials\careerstestimonials.scss", "SCSS", -208, 0, -2, -39, -249
"c:\Users\ketan\colon33\src\components\Careers\Carrers.jsx", "JavaScript JSX", 0, -35, 0, -5, -40
"c:\Users\ketan\colon33\src\components\Careers\Network\Network.jsx", "JavaScript JSX", 0, -26, 0, -5, -31
"c:\Users\ketan\colon33\src\components\Careers\Network\network.scss", "SCSS", -54, 0, 0, -10, -64
"c:\Users\ketan\colon33\src\components\Careers\careers.scss", "SCSS", -5, 0, 0, -3, -8
"c:\Users\ketan\colon33\src\components\Careers\cultureComp\CultureComp.jsx", "JavaScript JSX", 0, -61, 0, -10, -71
"c:\Users\ketan\colon33\src\components\Careers\cultureComp\culture.scss", "SCSS", -85, 0, 0, -12, -97
"c:\Users\ketan\colon33\src\components\Home\Banner\Banner.jsx", "JavaScript JSX", 0, -39, 0, -7, -46
"c:\Users\ketan\colon33\src\components\Home\Banner\banner.scss", "SCSS", -42, 0, -1, -5, -48
"c:\Users\ketan\colon33\src\components\Home\Digital1\Digital1.jsx", "JavaScript JSX", 0, -29, 0, -4, -33
"c:\Users\ketan\colon33\src\components\Home\Digital1\digital1.scss", "SCSS", -55, 0, -4, -15, -74
"c:\Users\ketan\colon33\src\components\Home\DigitalTransformation\Digital.jsx", "JavaScript JSX", 0, -51, -14, -14, -79
"c:\Users\ketan\colon33\src\components\Home\DigitalTransformation\digital.scss", "SCSS", -104, 0, -7, -31, -142
"c:\Users\ketan\colon33\src\components\Home\Home.jsx", "JavaScript JSX", 0, -24, -1, -2, -27
"c:\Users\ketan\colon33\src\components\Home\HomeCareers\HomeCareers.jsx", "JavaScript JSX", 0, -35, 0, -7, -42
"c:\Users\ketan\colon33\src\components\Home\HomeCareers\homecareers.scss", "SCSS", -73, 0, -2, -15, -90
"c:\Users\ketan\colon33\src\components\Home\Partners\Partners.jsx", "JavaScript JSX", 0, -97, 0, -13, -110
"c:\Users\ketan\colon33\src\components\Home\Partners\partners.scss", "SCSS", -92, 0, -6, -18, -116
"c:\Users\ketan\colon33\src\components\Home\Services\Services.jsx", "JavaScript JSX", 0, -84, -1, -29, -114
"c:\Users\ketan\colon33\src\components\Home\Services\services.scss", "SCSS", -188, 0, -44, -51, -283
"c:\Users\ketan\colon33\src\components\Home\Testimonials\Testimonials.jsx", "JavaScript JSX", 0, -100, 0, -13, -113
"c:\Users\ketan\colon33\src\components\Home\Testimonials\testimonials.scss", "SCSS", -102, 0, -5, -19, -126
"c:\Users\ketan\colon33\src\components\Home\home.scss", "SCSS", -5, 0, 0, -2, -7
"c:\Users\ketan\colon33\src\components\Leadership\Leadership.jsx", "JavaScript JSX", 0, -22, -2, -3, -27
"c:\Users\ketan\colon33\src\components\Leadership\leadership.scss", "SCSS", -5, 0, 0, 0, -5
"c:\Users\ketan\colon33\src\components\common\BannerComponent\BannerComponent.jsx", "JavaScript JSX", 0, -14, -2, -5, -21
"c:\Users\ketan\colon33\src\components\common\BannerComponent\bannercomp.scss", "SCSS", -36, 0, 0, -13, -49
"c:\Users\ketan\colon33\src\components\common\DescriptionCommon\DescriptionCommon.jsx", "JavaScript JSX", 0, -35, -1, -4, -40
"c:\Users\ketan\colon33\src\components\common\DescriptionCommon\descommon.scss", "SCSS", -71, 0, -4, -12, -87
"c:\Users\ketan\colon33\src\components\common\FlippedDescCommon\Flipped.jsx", "JavaScript JSX", 0, -31, 0, -7, -38
"c:\Users\ketan\colon33\src\components\common\FlippedDescCommon\flipped.scss", "SCSS", -70, 0, -7, -9, -86
"c:\Users\ketan\colon33\src\components\common\Footer\Footer.jsx", "JavaScript JSX", 0, -51, 0, -13, -64
"c:\Users\ketan\colon33\src\components\common\Footer\footer.scss", "SCSS", -104, 0, 0, -20, -124
"c:\Users\ketan\colon33\src\components\common\Navbar\Navbar.jsx", "JavaScript JSX", 0, -49, 0, -4, -53
"c:\Users\ketan\colon33\src\components\common\Navbar\navbar.scss", "SCSS", -41, 0, 0, -15, -56
"c:\Users\ketan\colon33\src\components\common\PresenceComp\Presence.jsx", "JavaScript JSX", 0, -45, 0, -7, -52
"c:\Users\ketan\colon33\src\components\common\PresenceComp\presence.scss", "SCSS", -49, 0, -1, -8, -58
"c:\Users\ketan\colon33\src\components\common\SubServicesCommon\SubServicesCommon.jsx", "JavaScript JSX", 0, 22, 2, 2, 26
"c:\Users\ketan\colon33\src\components\common\SubServicesCommon\SubServicesDesc\SubServicesDesc.jsx", "JavaScript JSX", 0, 45, 56, 24, 125
"c:\Users\ketan\colon33\src\components\common\SubServicesCommon\SubServicesDesc\subservicesdesc.scss", "SCSS", 99, 0, 16, 23, 138
"c:\Users\ketan\colon33\src\components\common\SubServicesCommon\subservicescommon.scss", "SCSS", 6, 0, 0, 0, 6
"Total", "-", -1388, -978, -33, -452, -2851